station_id,name,lat,long,install_date,install_dockcount,modification_date,current_dockcount,decommission_date,nhood,nhood_name
SLU-07,PATH / 9th Ave & Westlake Ave,47.61832,-122.338913,10/13/14,18,,18,,Cascade,South Lake Union
SLU-15,Westlake Ave & 6th Ave,47.613628,-122.337341,10/13/14,12,3/13/15,20,,Downtown,Belltown
SLU-16,Pine St & 9th Ave,47.613715,-122.331777,10/13/14,20,,20,,Downtown,Central Business District
SLU-17,Lake Union Park / Valley St & Boren Ave N,47.626041,-122.335831,10/13/14,18,2/23/15,16,,Cascade,South Lake Union
SLU-18,Dexter Ave & Denny Way,47.618285,-122.342205,10/13/14,20,11/2/15,0,7/2/16,Downtown,Belltown
SLU-19,Key Arena / 1st Ave N & Harrison St,47.622277,-122.35523,10/13/14,12,3/4/15,16,,Queen Anne,Lower Queen Anne
SLU-20,Terry Ave & Stewart St,47.61626,-122.333815,6/12/15,20,,20,,Downtown,Belltown
SLU-21,Mercer St & 9th Ave N,47.624769,-122.339408,9/15/15,20,,20,,Cascade,Westlake
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,47.666145,-122.301491,10/13/14,18,,18,,University District,University District
UD-02,NE 42nd St & University Way NE,47.658288,-122.313334,10/13/14,18,,18,,University District,University District
UD-04,12th Ave & NE Campus Pkwy,47.656395,-122.31562,10/13/14,16,,16,,University District,University District
UD-07,NE 47th St & 12th Ave NE,47.663143,-122.315086,10/13/14,16,,16,,University District,University District
UW-01,UW McCarty Hall / Whitman Ct,47.660268,-122.304826,10/13/14,16,10/29/15,0,10/29/15,University District,University District
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,47.659756,-122.310402,10/13/14,12,2/20/15,14,,University District,University District
UW-04,15th Ave NE & NE 40th St,47.65559,-122.31189,10/13/14,18,2/20/15,16,,University District,University District
UW-06,UW Engineering Library / E Stevens Way NE & Jefferson Rd,47.654613,-122.304863,10/13/14,12,2/20/15,14,,University District,University District
UW-07,UW Intramural Activities Building,47.653713,-122.302162,10/13/14,20,2/20/15,14,,University District,University District
UW-10,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,47.650725,-122.311188,10/13/14,16,,16,,University District,University District
WF-01,Pier 69 / Alaskan Way & Clay St,47.614315,-122.354093,10/13/14,18,,24,,Downtown,Belltown
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,47.607702,-122.34165,10/13/14,18,,18,,Downtown,Pike-Market
CH-16,Broadway and E Denny Way,47.61863956,-122.3207769,3/18/16,18,,18,,Capitol Hill,Broadway
SLU-22,Thomas St & 5th Ave N,47.62087853,-122.3473769,7/3/16,18,,18,,Queen Anne,Lower Queen Anne
UW-11,NE Pacific St/UW Medical Center,47.64995155,-122.3062634,10/29/15,16,,16,,University District,University District
WF-03,Pier 66 / Alaskan Way & Bell St,47.61137028,-122.3487015,8/9/16,18,,18,,Downtown,Belltown
